id,rikishi,matches,wins,losses,pct,top_rank,favored_kimarite,heya,shusshin,height,avg_weight,bmi,birth_date,alt_shikona2,alt_shikona3
18,Takatoriki,1204,604,600,0.5,Sekiwake,oshidashi,Futagoyama,Hyogo,180.0,137.5,42.4,1967-09-28,Kamakari,
1,Akebono,821,604,217,0.74,Yokozuna,oshidashi,Azumazeki,U.S.A.,203.5,0.0,0.0,1969-05-08,,
37,Kotoinazuma,1262,596,666,0.47,Komusubi,yorikiri,Sadogatake,Gunma,180.3,129.4,39.8,1962-04-26,,
31,Dejima,1074,582,492,0.54,Ozeki,oshidashi,Musashigawa,Ishikawa,180.0,0.0,0.0,1974-03-21,,
1227,Toyonoshima,1141,582,559,0.51,Sekiwake,yorikiri,Tokitsukaze,Kochi,169.0,134.9,47.2,1983-06-29,,
30,Kitakachidoki,1216,575,641,0.47,Maegashira-3,yorikiri,Isenoumi,Hokkaido,182.5,139.3,41.8,1966-01-01,Kuga,
1292,Kotogaume,1148,573,575,0.5,Sekiwake,oshidashi,Sadogatake,Toyama,181.0,171.0,52.2,1963-10-05,,
17,Tamakasuga,1191,571,620,0.48,Sekiwake,oshidashi,Kataonami,Ehime,181.5,0.0,0.0,1972-01-07,,
6463,Okinoumi,1177,566,611,0.48,Sekiwake,yorikiri,Hakkaku,Shimane,191.0,140.0,38.4,1985-07-29,Fukuoka,
6480,Takayasu,998,561,437,0.56,Ozeki,yorikiri,Tagonoura,Ibaraki,187.0,142.2,40.7,1990-02-28,,
12,Kotonishiki,1053,559,494,0.53,Sekiwake,yorikiri,Sadogatake,Gunma,175.5,131.3,42.6,1968-06-08,Kotomatsuzawa,
1301,Kirishima,1091,558,533,0.51,Ozeki,yorikiri,Izutsu,Kagoshima,186.0,121.3,35.1,1959-04-03,,
11728,Takarafuji,1142,550,592,0.48,Sekiwake,yorikiri,Isegahama,Aomori,185.0,158.7,46.4,1987-02-18,,
876,Kotomitsuki,912,549,363,0.6,Ozeki,yorikiri,Sadogatake,Aichi,182.0,151.2,45.6,1976-04-11,Kototamiya,
23,Tochinowaka,1150,548,602,0.48,Sekiwake,yorikiri,Kasugano,Wakayama,190.0,0.0,0.0,1962-05-22,Kaseda,
51,Daizen,1116,542,574,0.49,Komusubi,yorikiri,Nishonoseki,Osaka,188.0,139.9,39.6,1964-12-14,,
1354,Chiyonofuji,632,541,91,0.86,Yokozuna,yorikiri,Kokonoe,Hokkaido,183.0,121.3,36.2,1955-06-01,,
6,Musoyama,917,540,377,0.59,Ozeki,oshidashi,Musashigawa,Ibaraki,184.0,0.0,0.0,1972-02-14,,
40,Kaiho,1158,540,618,0.47,Komusubi,yorikiri,Hakkaku,Aomori,176.0,0.0,0.0,1973-04-17,Kumagaya,
63,Otsukasa,1132,531,601,0.47,Maegashira-4,yorikiri,Irumagawa,Hyogo,175.0,0.0,0.0,1971-02-18,Ouchi,
49,Misugisato,1116,530,586,0.47,Komusubi,yorikiri,Futagoyama,Shiga,185.0,146.1,42.7,1962-07-01,,
11786,Aoiyama,1058,527,531,0.5,Sekiwake,hatakikomi,Kasugano,Bulgaria,191.0,173.0,47.4,1986-06-19,,
11784,Myogiryu,1059,527,532,0.5,Sekiwake,oshidashi,Sakaigawa,Hyogo,187.0,145.3,41.6,1986-10-22,Miyamoto,
875,Takamisakari,1075,526,549,0.49,Komusubi,yorikiri,Azumazeki,Aomori,188.0,137.5,38.9,1976-05-12,Kato,
1302,Takamisugi,1116,523,593,0.47,Komusubi,oshidashi,Futagoyama,Kanagawa,179.0,151.1,47.2,1961-03-01,,
34,Asanowaka,1112,522,590,0.47,Maegashira-1,oshidashi,Takasago,Aichi,176.0,0.0,0.0,1969-12-11,Wakaadachi,
3,Wakanohana,789,521,268,0.66,Yokozuna,yorikiri,Futagoyama,Tokyo,178.5,0.0,0.0,1971-01-20,Wakahanada,
19,Tochiazuma,828,518,310,0.63,Ozeki,oshidashi,Tamanoi,Tokyo,180.0,0.0,0.0,1976-11-09,Shiga,
60,Toyonoumi,1059,515,544,0.49,Maegashira-1,yorikiri,Futagoyama,Fukuoka,189.5,192.7,53.7,1965-09-22,Takanohama,
152,Tamanoshima,1072,514,558,0.48,Sekiwake,yorikiri,Kataonami,Fukushima,186.0,0.0,0.0,1977-09-15,Tamanonada,
2818,Tokitenku,1034,504,530,0.49,Komusubi,yorikiri,Tokitsukaze,Mongolia,186.0,138.1,39.9,1979-09-10,,
1342,Asahifuji,782,498,284,0.64,Yokozuna,yorikiri,Oshima,Aomori,189.0,135.4,37.9,1960-07-06,,
15,Oginishiki,1019,498,521,0.49,Komusubi,yorikiri,Dewanoumi,Chiba,186.0,0.0,0.0,1971-07-08,,
1339,Hokutoumi,724,496,228,0.69,Yokozuna,oshidashi,Kokonoe,Hokkaido,181.0,140.0,42.7,1963-06-22,Hoshi,
87,Wakanoyama,1023,490,533,0.48,Komusubi,oshidashi,Musashigawa,Wakayama,178.0,0.0,0.0,1972-05-12,,
2830,Kotooshu,820,490,330,0.6,Ozeki,yorikiri,Sadogatake,Bulgaria,202.0,144.6,35.4,1983-02-19,,
11,Aogiyama,1009,477,532,0.47,Maegashira-1,oshidashi,Tokitsukaze,Shiga,181.5,0.0,0.0,1970-02-18,Teraki,
35,Kyokushuzan,1038,477,561,0.46,Komusubi,uwatenage,Oshima,Mongolia,182.0,126.9,38.3,1973-03-08,,
6753,Kaisei,974,473,501,0.49,Sekiwake,yorikiri,Oshima,Brazil,195.0,169.9,44.7,1986-12-18,,
6467,Toyohibiki,956,466,490,0.49,Maegashira-2,oshidashi,Sakaigawa,Yamaguchi,184.0,169.2,50.0,1984-11-16,Kadomoto,
11934,Chiyotairyu,924,448,476,0.48,Komusubi,oshidashi,Kokonoe,Tokyo,181.0,166.0,50.7,1988-11-14,Meigetsuin,
1350,Onokuni,672,440,232,0.65,Yokozuna,yorikiri,Hanaregoma,Hokkaido,189.0,181.0,50.7,1962-10-09,,
12055,Endo,844,436,408,0.52,Komusubi,yorikiri,Oitekaze,Ishikawa,184.0,145.5,43.0,1990-10-19,,
813,Kitataiki,907,435,472,0.48,Maegashira-2,yorikiri,Yamahibiki,Tokyo,185.0,128.3,37.5,1982-10-05,,
44,Kushimaumi,863,435,428,0.5,Maegashira-1,yorikiri,Dewanoumi,Wakayama,187.0,189.2,54.1,1965-08-06,Kushima,
50,Tokitsuumi,905,435,470,0.48,Maegashira-3,yorikiri,Tokitsukaze,Nagasaki,184.0,0.0,0.0,1973-11-08,,
70,Kitazakura,907,435,472,0.48,Maegashira-9,yorikiri,Kitanoumi,Hiroshima,189.3,0.0,0.0,1971-12-15,,
2879,Sadanoumi,902,434,468,0.48,Maegashira-1,yorikiri,Sakaigawa,Kumamoto,182.0,114.8,34.7,1987-05-11,,
11985,Daieisho,810,429,381,0.53,Sekiwake,oshidashi,Oitekaze,Saitama,182.0,140.4,42.4,1993-11-10,,
16,Minatofuji,920,421,499,0.46,Maegashira-2,yorikiri,Minato,Gunma,186.0,154.3,44.6,1968-07-06,,
1018,Shimotori,839,420,419,0.5,Komusubi,yorikiri,Tokitsukaze,Niigata,188.0,144.0,40.7,1978-03-18,Shimootori,
1363,Hokutenyu,668,415,253,0.62,Ozeki,yorikiri,Mihogaseki,Hokkaido,183.0,142.8,42.6,1960-08-08,,
1337,Tochitsukasa,829,414,415,0.5,Sekiwake,oshidashi,Kasugano,Aichi,180.0,146.1,45.1,1958-04-25,,
78,Toyozakura,870,413,457,0.47,Maegashira-5,oshidashi,Michinoku,Hiroshima,181.0,126.0,38.5,1974-03-12,,
6572,Gagamaru,876,413,463,0.47,Komusubi,oshidashi,Kise,Georgia,185.0,184.6,53.9,1987-02-23,,
6614,Shohozan,879,412,467,0.47,Komusubi,oshidashi,Hanaregoma,Fukuoka,177.0,129.3,41.3,1984-02-09,Matsutani,
48,Oginohana,816,410,406,0.5,Maegashira-2,yorikiri,Dewanoumi,Chiba,188.0,0.0,0.0,1967-11-18,,
29,Kotoryu,845,409,436,0.48,Maegashira-1,yorikiri,Sadogatake,Hyogo,183.0,0.0,0.0,1972-03-02,,
1332,Sakahoko,870,406,464,0.47,Sekiwake,yorikiri,Izutsu,Kagoshima,182.0,122.6,37.0,1961-06-18,,
1334,Wakasegawa,845,405,440,0.48,Maegashira-1,yorikiri,Isegahama,Yamagata,189.0,145.0,40.6,1962-07-28,,
12210,Mitakeumi,709,401,308,0.57,Ozeki,oshidashi,Dewanoumi,Nagano,179.0,160.5,50.1,1992-12-25,,
11726,Tokushoryu,837,401,436,0.48,Maegashira-2,yorikiri,Kise,Nara,183.0,164.4,49.1,1986-08-22,Aoki,
96,Jumonji,850,393,457,0.46,Maegashira-6,yorikiri,Michinoku,Aomori,184.0,0.0,0.0,1976-06-09,Kaigatake,
1187,Kokkai,832,392,440,0.47,Komusubi,yorikiri,Oitekaze,Georgia,190.0,0.0,0.0,1981-03-10,,
26,Higonoumi,862,388,474,0.45,Maegashira-1,yorikiri,Mihogaseki,Kumamoto,182.0,0.0,0.0,1969-09-23,,
6432,Baruto,589,384,205,0.65,Ozeki,yorikiri,Onoe,Estonia,197.0,175.0,45.1,1984-11-05,,
107,Kasuganishiki,798,383,415,0.48,Maegashira-5,yorikiri,Kasugano,Chiba,188.0,136.8,38.7,1975-08-22,,
9079,Kotoyuki,739,381,358,0.52,Sekiwake,oshidashi,Sadogatake,Kagawa,177.0,144.9,46.3,1991-04-02,,
11927,Terunofuji,603,378,225,0.63,Yokozuna,yorikiri,Isegahama,Mongolia,191.0,163.6,44.8,1991-11-29,Wakamisho,
62,Daishi,807,377,430,0.47,Maegashira-3,yorikiri,Oshiogawa,Ibaraki,182.0,147.5,44.5,1968-08-23,,
135,Hokutoriki,792,377,415,0.48,Sekiwake,oshidashi,Hakkaku,Tochigi,182.0,136.4,41.2,1977-10-31,,
1338,Ozutsu,855,377,478,0.44,Sekiwake,yorikiri,Taiho,Mie,183.0,142.8,42.6,1956-04-18,,
25,Hamanoshima,816,375,441,0.46,Komusubi,yorikiri,Mihogaseki,Kumamoto,179.0,0.0,0.0,1970-03-21,Hamasu,
12130,Shodai,700,374,326,0.53,Ozeki,yorikiri,Tokitsukaze,Kumamoto,184.0,160.0,47.3,1991-11-05,,
865,Kasugao,775,373,402,0.48,Maegashira-3,yorikiri,Kasugayama,Korea,183.0,0.0,0.0,1977-07-01,,
6491,Ikioi,776,372,404,0.48,Sekiwake,oshidashi,Isenoumi,Osaka,193.0,138.4,37.2,1986-10-11,,
12043,Onosho,715,371,344,0.52,Komusubi,oshidashi,Onomatsu,Aomori,177.0,152.8,48.8,1996-07-04,,
1303,Kotofuji,783,371,412,0.47,Sekiwake,yorikiri,Sadogatake,Chiba,190.0,133.7,37.0,1964-10-28,Kotoosugi,
1087,Iwakiyama,721,369,352,0.51,Komusubi,yorikiri,Sakaigawa,Aomori,183.5,0.0,0.0,1976-03-02,,
1296,Kasugafuji,783,368,415,0.47,Maegashira-1,oshidashi,Ajigawa,Miyagi,176.5,130.6,41.9,1966-02-20,,
1310,Kirinishiki,764,366,398,0.48,Maegashira-2,yorikiri,Kagamiyama,Gunma,188.0,156.7,44.3,1962-08-31,,
1345,Tamaryu,795,366,429,0.46,Komusubi,yorikiri,Kataonami,Nagasaki,191.0,120.7,33.1,1954-07-22,,
6018,Homasho,691,365,326,0.53,Komusubi,yorikiri,Shikoroyama,Yamaguchi,185.0,142.4,41.6,1981-04-16,,
12107,Ichinojo,670,364,306,0.54,Sekiwake,yorikiri,Minato,Mongolia,192.0,190.5,51.7,1993-04-07,,
53,Tokitsunada,737,362,375,0.49,Maegashira-4,yorikiri,Tokitsukaze,Tokushima,187.0,0.0,0.0,1969-08-02,,
42,Mainoumi,771,361,410,0.47,Komusubi,shitatenage,Dewanoumi,Aomori,170.3,96.9,33.4,1968-02-17,Nagao,
1317,Hananokuni,748,361,387,0.48,Maegashira-1,yorikiri,Hanaregoma,Osaka,184.0,139.4,41.2,1959-10-15,,
38,Toki,765,361,404,0.47,Komusubi,hatakikomi,Takasago,Chiba,189.0,158.0,44.2,1974-07-04,,
12191,Takakeisho,566,357,209,0.63,Ozeki,oshidashi,Tokiwayama,Hyogo,175.0,166.0,54.2,1996-08-05,Sato,
52,Tomonohana,734,357,377,0.49,Komusubi,shitatenage,Tatsunami,Kumamoto,175.0,0.0,0.0,1964-06-23,,
1295,Kyokudozan,757,355,402,0.47,Komusubi,yorikiri,Oshima,Kagoshima,182.5,95.9,28.8,1964-10-14,,
7240,Chiyomaru,737,355,382,0.48,Maegashira-5,oshidashi,Kokonoe,Kagoshima,178.0,153.8,48.5,1991-04-17,,
1285,Asahisato,735,353,382,0.48,Maegashira-14,yorikiri,Oshima,Osaka,187.0,126.0,36.0,1965-11-09,,
1315,Enazakura,736,353,383,0.48,Maegashira-1,oshidashi,Oshiogawa,Gifu,180.0,127.0,39.2,1960-07-29,,
1348,Jingaku,783,350,433,0.45,Komusubi,yorikiri,Izutsu,Kagoshima,191.0,138.0,37.8,1959-12-24,,
1333,Sasshunada,723,349,374,0.48,Maegashira-1,oshidashi,Izutsu,Kagoshima,183.0,139.4,41.6,1957-06-07,,
22,Gojoro,708,348,360,0.49,Maegashira-3,hatakikomi,Magaki,Miyagi,190.0,0.0,0.0,1973-08-18,,
7239,Kyokushuho,699,347,352,0.5,Maegashira-4,yorikiri,Tomozuna,Mongolia,190.0,135.1,37.4,1988-08-09,,
795,Tamaasuka,753,347,406,0.46,Maegashira-9,yorikiri,Kataonami,Aichi,185.0,137.1,40.1,1983-01-26,,
11845,Kagayaki,728,346,382,0.48,Maegashira-3,oshidashi,Takadagawa,Ishikawa,193.0,148.6,39.9,1994-06-01,Tatsu,
1204,Kakizoe,738,345,393,0.47,Komusubi,oshidashi,Fujishima,Oita,176.0,134.8,43.5,1978-08-12,,
71,Takanowaka,691,343,348,0.5,Sekiwake,yorikiri,Naruto,Nagasaki,190.0,124.0,34.3,1976-04-02,Takaozaki,
145,Kobo,723,342,381,0.47,Maegashira-9,yorikiri,Miyagino,Kagoshima,182.0,123.2,37.2,1973-08-18,Mineyama,
45,Daishoho,712,340,372,0.48,Komusubi,yorikiri,Tatsunami,Hokkaido,187.5,0.0,0.0,1967-05-07,Murata,
1347,Itai,765,339,426,0.44,Komusubi,oshidashi,Onaruto,Oita,178.0,134.4,42.4,1956-03-21,,
1352,Tagaryu,751,334,417,0.44,Sekiwake,yorikiri,Kagamiyama,Ibaraki,178.0,136.9,43.2,1958-02-15,,
47,Chiyotenzan,725,334,391,0.46,Komusubi,yorikiri,Kokonoe,Osaka,183.5,133.9,39.8,1976-02-06,,
1353,Daijuyama,737,333,404,0.45,Sekiwake,yorikiri,Futagoyama,Niigata,183.0,155.3,46.4,1959-04-08,,
12239,Hokutofuji,619,333,286,0.54,Komusubi,oshidashi,Hakkaku,Saitama,185.0,160.0,46.7,1992-07-15,Daiki,
5985,Satoyama,703,331,372,0.47,Maegashira-12,oshidashi,Onoe,Kagoshima,177.0,117.3,37.4,1981-05-31,,
97,Tochinohana,693,329,364,0.47,Komusubi,yorikiri,Kasugano,Iwate,184.5,139.9,41.1,1973-02-28,Yachi,
1361,Daitetsu,707,329,378,0.47,Komusubi,yorikiri,Nishonoseki,Fukui,193.0,122.8,33.0,1956-10-29,,
6642,Chiyonokuni,636,327,309,0.51,Maegashira-1,hatakikomi,Kokonoe,Mie,182.0,125.4,37.9,1990-07-10,,
1359,Koboyama,711,321,390,0.45,Sekiwake,yorikiri,Kumagatani,Miyagi,179.0,142.4,44.4,1957-08-15,,
1379,Asashio,528,320,208,0.61,Ozeki,yorikiri,Takasago,Kochi,183.0,178.6,53.3,1955-12-09,,
11723,Azumaryu,648,318,330,0.49,Maegashira-11,yorikiri,Tamanoi,Mongolia,191.0,140.2,38.4,1987-05-12,,
1299,Kiraiho,657,312,345,0.47,Maegashira-4,yorikiri,Takadagawa,Kanagawa,188.0,144.0,40.7,1966-01-05,,
7153,Kotoeko,648,307,341,0.47,Maegashira-4,yorikiri,Sadogatake,Miyazaki,177.0,107.3,34.2,1991-11-20,,
72,Tochisakae,617,306,311,0.5,Maegashira-1,oshidashi,Kasugano,Saga,184.0,0.0,0.0,1974-06-27,Okamoto,Tochinoiwa
20,Shikishima,653,306,347,0.47,Maegashira-1,yorikiri,Michinoku,Chiba,184.5,0.0,0.0,1970-12-15,Yoshitane,
1305,Kyokugozan,633,305,328,0.48,Maegashira-9,oshidashi,Oshima,Chiba,181.0,153.1,46.7,1968-09-18,,
2834,Futeno,639,304,335,0.48,Komusubi,yorikiri,Dewanoumi,Kumamoto,180.5,153.9,47.2,1980-08-28,Uchida,
4980,Sokokurai,617,301,316,0.49,Maegashira-2,yorikiri,Arashio,China,185.0,113.4,33.1,1984-01-09,,
175,Ushiomaru,601,296,305,0.49,Maegashira-10,oshidashi,Azumazeki,Shizuoka,176.0,157.8,50.9,1978-05-11,,
58,Oikari,592,296,296,0.5,Maegashira-11,oshidashi,Isenoumi,Kyoto,176.0,0.0,0.0,1972-06-16,,
11724,Takanoiwa,557,293,264,0.53,Maegashira-2,yorikiri,Chiganoura,Mongolia,181.0,136.4,41.6,1990-02-26,,
1141,Shotenro,619,289,330,0.47,Maegashira-2,oshidashi,Fujishima,Mongolia,189.0,138.2,38.7,1982-01-31,Musashiryu,
43,Kinkaiyama,591,287,304,0.49,Maegashira-6,yorikiri,Dewanoumi,Nagasaki,183.0,145.6,43.5,1976-01-07,,
6596,Nishikigi,592,286,306,0.48,Maegashira-1,oshidashi,Isenoumi,Iwate,184.0,133.6,39.5,1990-08-25,,
1369,Toryu,645,286,359,0.44,Sekiwake,yorikiri,Mihogaseki,Hyogo,181.0,149.5,45.6,1958-12-19,,
1330,Ryogoku,584,283,301,0.48,Komusubi,yorikiri,Dewanoumi,Nagasaki,185.0,0.0,0.0,1962-07-30,Kobayashiyama,
1364,Masurao,548,282,266,0.51,Sekiwake,yorikiri,Oshiogawa,Fukuoka,188.0,112.1,31.7,1961-06-27,Tejima,
11785,Chiyoshoma,591,280,311,0.47,Maegashira-2,yorikiri,Kokonoe,Mongolia,184.0,104.5,30.9,1991-07-20,,
64,Yotsukasa,607,280,327,0.46,Maegashira-11,oshidashi,Irumagawa,Mie,178.0,0.0,0.0,1973-09-25,Suzuki,
11946,Meisei,553,279,274,0.5,Sekiwake,yorikiri,Tatsunami,Kagoshima,180.0,121.3,37.4,1995-07-24,,
1374,Kurama,605,278,327,0.46,Komusubi,yorikiri,Tokitsukaze,Shiga,188.0,137.1,38.8,1952-12-16,,
12051,Ishiura,564,276,288,0.49,Maegashira-5,yorikiri,Miyagino,Tottori,174.0,103.2,34.1,1990-01-10,,
1290,Wakashoyo,561,274,287,0.49,Sekiwake,yorikiri,Futagoyama,Tokyo,181.0,153.1,46.7,1966-03-08,Shidenryu,Babaguchi
1375,Masudayama,600,274,326,0.46,Sekiwake,hatakikomi,Kasugano,Ishikawa,187.0,148.2,42.4,1951-04-10,,
12113,Tsurugisho,556,271,285,0.49,Maegashira-7,yorikiri,Oitekaze,Tokyo,182.0,172.5,52.1,1991-07-27,Abiko,
1294,Naminohana,560,270,290,0.48,Komusubi,oshidashi,Futagoyama,Aomori,178.0,0.0,0.0,1969-03-19,,
8904,Homarefuji,565,270,295,0.48,Maegashira-6,oshidashi,Isegahama,Aomori,180.0,155.4,48.0,1985-05-06,,
36,Asanosho,564,268,296,0.48,Maegashira-2,oshidashi,Wakamatsu,Kanagawa,186.0,0.0,0.0,1969-12-23,Ozawa,Asasoyo
11855,Takanosho,495,268,227,0.54,Sekiwake,oshidashi,Tokiwayama,Chiba,184.0,126.4,37.3,1994-11-14,Masunosho,
1335,Takanofuji,616,266,350,0.43,Komusubi,yorikiri,Kokonoe,Tokyo,192.0,132.5,35.9,1963-10-09,,
12094,Abi,482,265,217,0.55,Sekiwake,oshidashi,Shikoroyama,Saitama,188.0,129.0,36.5,1994-05-04,Horikiri,
12026,Hidenoumi,538,264,274,0.49,Maegashira-6,yorikiri,Kise,Tokyo,185.0,155.7,45.5,1989-06-11,Iwasaki,
900,Wakakoyu,547,263,284,0.48,Komusubi,oshidashi,Onomatsu,Chiba,180.0,0.0,0.0,1984-02-24,Yakigaya,
2842,Sadanofuji,588,263,325,0.45,Maegashira-2,oshidashi,Sakaigawa,Nagasaki,189.0,162.1,45.4,1984-12-25,,
1286,Kenko,559,262,297,0.47,Komusubi,yorikiri,Takadagawa,Osaka,191.0,0.0,0.0,1967-06-27,,
1380,Hidanohana,557,262,295,0.47,Maegashira-2,yorikiri,Futagoyama,Gifu,182.0,136.2,41.1,1953-12-13,,
2832,Arawashi,567,262,305,0.46,Maegashira-2,yorikiri,Minezaki,Mongolia,184.0,110.3,32.6,1986-08-21,,
113,Asofuji,550,259,291,0.47,Maegashira-13,oshidashi,Isegahama,Aomori,180.0,0.0,0.0,1976-01-17,,
1372,Maenoshin,531,253,278,0.48,Komusubi,yorikiri,Takadagawa,Fukuoka,185.0,132.2,38.6,1961-04-17,,
105,Buyuzan,531,251,280,0.47,Maegashira-1,oshidashi,Musashigawa,Aichi,181.0,0.0,0.0,1974-07-29,Tominagayama,
6594,Ryuden,496,250,246,0.5,Komusubi,yorikiri,Takadagawa,Yamanashi,190.0,131.6,36.5,1990-11-10,,
4127,Wakashimazu,395,250,145,0.63,Ozeki,yorikiri,Futagoyama,Kagoshima,188.0,122.8,34.7,1957-01-12,,
55,Zenshinyama,539,249,290,0.46,Juryo-2,oshidashi,Takadagawa,Kanagawa,181.0,0.0,0.0,1966-04-22,,
129,Hayateumi,461,249,212,0.54,Sekiwake,yorikiri,Oitekaze,Aomori,185.0,0.0,0.0,1975-07-05,Saito,
6928,Chiyootori,472,246,226,0.52,Komusubi,yorikiri,Kokonoe,Kagoshima,178.0,159.7,50.4,1992-10-11,,
11840,Chiyonoo,526,246,280,0.47,Maegashira-14,yorikiri,Kokonoe,Kagoshima,180.0,140.5,43.4,1991-05-29,Chiyoo,
864,Bushuyama,535,245,290,0.46,Maegashira-3,yorikiri,Fujishima,Aomori,190.0,0.0,0.0,1976-05-21,,
1356,Kinoarashi,506,244,262,0.48,Maegashira-8,yorikiri,Oshiogawa,Hokkaido,183.0,157.4,47.0,1961-07-09,,
371,Kyokunankai,500,243,257,0.49,Maegashira-16,yorikiri,Oshima,Kagoshima,180.0,114.2,35.2,1977-12-14,,
6010,Kimurayama,521,242,279,0.46,Maegashira-7,oshidashi,Kasugano,Wakayama,182.0,161.7,48.8,1981-07-13,,
2851,Fujiazuma,517,242,275,0.47,Maegashira-4,oshidashi,Tamanoi,Tokyo,181.0,176.3,53.8,1987-04-19,,
8900,Akiseyama,546,241,305,0.44,Maegashira-12,yorikiri,Kise,Aichi,182.0,177.0,53.4,1985-07-18,Fukao,
12291,Asanoyama,391,240,151,0.61,Ozeki,yorikiri,Takasago,Toyama,187.0,166.0,47.5,1994-03-01,,
6531,Asahisho,508,240,268,0.47,Maegashira-11,oshidashi,Tomozuna,Chiba,174.0,119.0,39.3,1989-07-21,,
11868,Terutsuyoshi,513,239,274,0.47,Maegashira-3,oshidashi,Isegahama,Hyogo,169.0,105.2,36.8,1995-01-17,,
4136,Futahaguro,349,239,110,0.68,Yokozuna,yorikiri,Tatsunami,Mie,199.0,138.0,34.8,1963-08-12,Kitao,
1378,Hoo,516,239,277,0.46,Sekiwake,yorikiri,Nishonoseki,Aichi,178.2,142.7,44.9,1956-12-07,,
1376,Hananoumi,484,237,247,0.49,Komusubi,yorikiri,Hanaregoma,Akita,181.0,134.1,40.9,1960-12-06,,
6559,Seiro,509,235,274,0.46,Maegashira-14,yorikiri,Shikoroyama,Mongolia,185.0,110.8,32.4,1988-08-18,,
